sku,_store,_type,_category,_root_category,_product_websites,name,price,product_type,short_description,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
295011,,simple,General Birthday,i-wannaparty,,Cupcake Letter Banner,349,Decoration,"Perfect for kids of all ages, our Sweet Treats pattern poses cute cupcakes with polka dots and stripes for birthday celebrations with sweet style. This coordinating party banner is great for decorating doors, mantels and walls, keeping the party atmosphere festive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425103,,simple,Girls Birthday/Princess,i-wannaparty,,Her Highness Dinner Plates - 8ct,215,Tableware,"There is no doubt who is the Princess of her special day with this regal design. These coordinating dinner size plates are perfect for a meal or party snacks, and make clean up a snap!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375103,,simple,Girls Birthday/Princess,i-wannaparty,,Her Highness 9oz Cups - 8ct,199,Tableware,There is no doubt who is the Princess of her special day with this regal design. Coordinating hot/cold cups make party set up and clean up a snap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725103,,simple,Girls Birthday/Princess,i-wannaparty,,Her Highness Rectangular Tablecover 54' x 108',475,Tableware,There is no doubt who is the Princess of her special day with this regal design. Our coordinating tablecovers help set the scene for the party!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205103,,simple,Girls Birthday/Princess,i-wannaparty,,Her Highness Child Size Hat - 8ct,199,Accessory,There is no doubt who is the Princess of her special day with this regal design. Our adorable party hats make great accessories for birthday celebrations!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209103,,simple,Girls Birthday/Princess,i-wannaparty,,Her Higness Paper Tiara w/Glitter - 8ct,399,Accessory,There is no doubt who is the Princess of her special day with this regal design. Our stylish glitter tiara lets the birthday girl shine!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295015,,simple,Girls Birthday/Sweet 16,i-wannaparty,,Sweet 16 Letter Banner ,350,Decoration,"The Sweet Sixteen look comes together in a coordinating style that captures every girl's personality: frilly, feminine, fabulous and funky! This coordinating party banner is great for decorating doors, mantels and walls, keeping the party atmosphere festive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295015,,simple,Adult Birthday/Sweet 16,i-wannaparty,,Sweet 16 Letter Banner ,350,Decoration,"The Sweet Sixteen look comes together in a coordinating style that captures every girl's personality: frilly, feminine, fabulous and funky! This coordinating party banner is great for decorating doors, mantels and walls, keeping the party atmosphere festive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425954,,simple,Girls Birthday/Princess,i-wannaparty,,Fairytale Princess Dinner Plates - 8ct,215,Tableware,"A magical celebration for her is in store with our Fairytale Princess collection. These coordinating dinner size plates are perfect for a meal or party snacks, and make clean up a snap!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661954,,simple,Girls Birthday/Princess,i-wannaparty,,Fairytale Princess Lunch Napkins - 16ct,215,Tableware,A magical celebration for her is in store with our Fairytale Princess collection. Our coordinating lunch napkins are strong enough for any mess!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375954,,simple,Girls Birthday/Princess,i-wannaparty,,Fairytale Princess 9oz Cups - 8ct,199,Tableware,A magical celebration for her is in store with our Fairytale Princess collection. Coordinating hot/cold cups make party set up and clean up a snap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195954,,simple,Girls Birthday/Princess,i-wannaparty,,Pin the Fairytale Princess Game,550,Accessory,A magical celebration for her is in store with our Fairytale Princess collection. Coordinating party games are a fun way to keep guests entertained!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895954,,simple,Girls Birthday/Princess,i-wannaparty,,Fairytale Princess Invitation Card - 8ct,399,Accessory,A magical celebration for her is in store with our Fairytale Princess collection. Coordinating party invitations make it easy for hosts to keep the theme throughout the entire celebration!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105954,,simple,Girls Birthday/Princess,i-wannaparty,,Fairytale Princess Pick Candle,299,Accessory,A magical celebration for her is in store with our Fairytale Princess collection. Coordinated candles make the cake part of the theme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425130,,simple,Boys Birthday/Big Top,i-wannaparty,,Big Top Birthday Dinner Plates - 8ct,249,Tableware,"Our fun Big Top Birthday ensemble brings the circus right to the party! These coordinating dinner size plates are perfect for a meal or party snacks, and make clean up a snap!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415130,,simple,Boys Birthday/Big Top,i-wannaparty,,Big Top Birthday Dessert Plates - 8ct,199,Tableware,Our fun Big Top Birthday ensemble brings the circus right to the party! Coordinating luncheon size plates are perfect for snacks and cake or dessert.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660030,,simple,Boys Birthday/Big Top,i-wannaparty,,Big Top Birthday Lunch Napkins - 16ct,225,Tableware,Our fun Big Top Birthday ensemble brings the circus right to the party! Our coordinating lunch napkins are strong enough for any mess!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655130,,simple,Boys Birthday/Big Top,i-wannaparty,,Big Top Birthday Beverage Napkins - 16ct,199,Tableware,Our fun Big Top Birthday ensemble brings the circus right to the party! Coordinating beverage napkins are perfectly paired with larger napkins or great on their own when a larger napkin is not needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
