store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,enable_googlecheckout,tax_class_id,description,short_description,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Favor,simple,60,259567,0,Cone Hat Bulk First Birthday Boy,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,299,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Top off the perfect party with our Boy 1st Birthday Party Hats! Package includes 8 cone hats, each measuring 7in tall. Blue hat features a multitonal polka dot background and a large ""1"" headline right in the center. Lay hats on your party table for a nice display or place in treat sacks for guests to enjoy after the birthday party fun!","Top off the perfect party with our Boy 1st Birthday Party Hats! Package includes 8 cone hats, each measuring 7in tall. Blue hat features a multitonal polka dot background and a large ""1"" headline right in the center. Lay hats on your party table for a nice display or place in treat sacks for guests to enjoy after the birthday party fun!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Cone Hat Bulk First Birthday Boy,0,simple,,
admin,base,Favor,simple,60,259568,0,Cone Hat 1st Birthday Boy,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,250,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Top off the perfect party with our Boy 1st Birthday Cone Hat! Cone hat measures 7in x 5 1/2in and features a ""1st birthday"" headline against a white backgorund with colorful polka dots and a blue tinsel trim. This party hat is the perfect accessory for the birthday boy!","Top off the perfect party with our Boy 1st Birthday Cone Hat! Cone hat measures 7in x 5 1/2in and features a ""1st birthday"" headline against a white backgorund with colorful polka dots and a blue tinsel trim. This party hat is the perfect accessory for the birthday boy!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Cone Hat 1st Birthday Boy,0,simple,,
admin,base,Favor,simple,8,259569,0,Cone Hat 1st Birthday Girl,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,250,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Top off the perfect party with our Girl 1st Birthday Cone Hat! Cone hat measures 7in x 5 1/2in and features a ""1st birthday"" headline against a white backgorund with colorful polka dots and a hot pink marabou trim. This party hat is the perfect accessory for the birthday girl!","Top off the perfect party with our Girl 1st Birthday Cone Hat! Cone hat measures 7in x 5 1/2in and features a ""1st birthday"" headline against a white backgorund with colorful polka dots and a hot pink marabou trim. This party hat is the perfect accessory for the birthday girl!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Cone Hat 1st Birthday Girl,0,simple,,
admin,base,Favor,simple,60,259601,0,Boys 1st Birthday Fabric Cake,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,599,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Boys 1st Birthday Fabric Cake,0,simple,,
admin,base,Favor,simple,71,259606,0,Boys 1st Birthday Fabric Crown,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,599,,,,Enabled,No,"Catalog, Search",Yes,Shipping,,,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Boys 1st Birthday Fabric Crown,0,simple,,
admin,base,Favor,simple,60,259615,0,Frothy Beer Mug Hat,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,1500,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Announce your drink of choice with our Beer Mug Hat! Shiny fabric Beer Mug Hat is shaped like a big, frosty beer mug with white plush foam cascading off the top. A size adjuster expands hat size up to 23 1/2in to fit most adults. Beer Mug Hat is just about a head taller than you are.","Announce your drink of choice with our Beer Mug Hat! Shiny fabric Beer Mug Hat is shaped like a big, frosty beer mug with white plush foam cascading off the top. A size adjuster expands hat size up to 23 1/2in to fit most adults. Beer Mug Hat is just about a head taller than you are.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Frothy Beer Mug Hat,0,simple,,
admin,base,Favor,simple,60,259702,0,Electroplated Tiara Glitzy Girl,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,399,,,,Enabled,No,"Catalog, Search",Yes,Shipping,Add some glitz and glam to your diva image with our Glitzy Girl Pink Marabou Tiara! Tiara measures 3 1/2in x 4 1/2in and features assorted pink gemstones with a pink marabou border. Perfect for the birthday princess or other special occasions!,Add some glitz and glam to your diva image with our Glitzy Girl Pink Marabou Tiara! Tiara measures 3 1/2in x 4 1/2in and features assorted pink gemstones with a pink marabou border. Perfect for the birthday princess or other special occasions!,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Electroplated Tiara Glitzy Girl,0,simple,,
admin,base,Favor,simple,60,259754,0,"Princess Prismatic Hat 7""",,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,299,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Sparkle at your fabulous party with our Princess Prismatic Party Hats! Package includes 8 cone hats. Pink hat features a ""Princess"" headline, a pink, prismatic heart, wands, tiaras, glass slippers and more. Hat is perfect for guests to wear during and after the party!","Sparkle at your fabulous party with our Princess Prismatic Party Hats! Package includes 8 cone hats. Pink hat features a ""Princess"" headline, a pink, prismatic heart, wands, tiaras, glass slippers and more. Hat is perfect for guests to wear during and after the party!",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"Princess Prismatic Hat 7""",0,simple,,
admin,base,Favor,simple,60,259805,0,Masquerade Fleur Shades,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,650,,,,Enabled,No,"Catalog, Search",Yes,Shipping,"Fat Tuesday meets 50s chic with these glittery Mardi Gras Glasses. Fleur De Lys Fun Mardi Gras Glasses have plastic frames encrusted with Mardi Gras purple, green, and gold glitter, and feature a retro horned rim design with swirls at the corners. The ear pieces are hinged, and the tinted lenses come with UV400 protection. Mardi Gras Glasses measure 8in across and fit most teens and adults.","Fat Tuesday meets 50s chic with these glittery Mardi Gras Glasses. Fleur De Lys Fun Mardi Gras Glasses have plastic frames encrusted with Mardi Gras purple, green, and gold glitter, and feature a retro horned rim design with swirls at the corners. The ear pieces are hinged, and the tinted lenses come with UV400 protection. Mardi Gras Glasses measure 8in across and fit most teens and adults.",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Masquerade Fleur Shades,0,simple,,
admin,base,Favor,simple,60,259810,0,Mardi Gras Fun Shades,,,,,,,default/hellowired,No layout updates,Block after Info Column,,,,India,Use config,Use config,No,650,,,,Enabled,No,"Catalog, Search",Yes,Shipping,Shade your eyes from the New Orleans sun with our Mardi Gras Glasses! Our glasses feature bright purple rimmed glasses with a yellow and green argyle pattern atop the lenses and a large fleur de lis graphic in the middle. Large gold bugle beads hang from both sides of the glasses for a fun party look! Sunglasses measure 3 1/2in x 7 1/2in x 1in.,Shade your eyes from the New Orleans sun with our Mardi Gras Glasses! Our glasses feature bright purple rimmed glasses with a yellow and green argyle pattern atop the lenses and a large fleur de lis graphic in the middle. Large gold bugle beads hang from both sides of the glasses for a fun party look! Sunglasses measure 3 1/2in x 7 1/2in x 1in.,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Mardi Gras Fun Shades,0,simple,,
